# Pathway	SRR5983287.clean.concat_Abundance-CPM	SRR5983306.clean.concat_Abundance-CPM	SRR5983438.clean.concat_Abundance-CPM	SRR5983451.clean.concat_Abundance-CPM	SRR5983464.clean.concat_Abundance-CPM
UNINTEGRATED|g__Roseburia.s__Roseburia_faecis	21016	3012.47	1885.77	2798.47	1659.55
UNINTEGRATED|g__Roseburia.s__Roseburia_hominis	5746.83	1549.25	2292.11	0	0
UNINTEGRATED|g__Roseburia.s__Roseburia_intestinalis	71564.9	0	595.368	0	0
UNINTEGRATED|g__Roseburia.s__Roseburia_inulinivorans	0	1748.9	1740.23	4243.95	0
UNINTEGRATED|g__Roseburia.s__Roseburia_sp_CAG_100	3467.17	0	0	0	0
UNINTEGRATED|g__Ruminococcaceae_unclassified.s__Clostridium_leptum	0	0	3164.51	1491.15	0
UNINTEGRATED|g__Ruminococcaceae_unclassified.s__Eubacterium_siraeum	0	0	0	0	7907.16
UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_bicirculans	0	0	0	417.994	0
UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_bromii	0	0	0	836.362	0
UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_lactaris	0	0	3449.66	0	0
UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_sp_CAG_330	0	0	0	398.368	0
UNINTEGRATED|g__Ruthenibacterium.s__Ruthenibacterium_lactatiformans	0	0	4667.17	745.401	0
UNINTEGRATED|g__Streptococcus.s__Streptococcus_thermophilus	0	0	0	626.905	0
UNINTEGRATED|g__Subdoligranulum.s__Subdoligranulum_sp_APC924_74	632.547	0	561.061	13096.5	2018.07
UNINTEGRATED|g__Sutterella.s__Sutterella_wadsworthensis	1486.74	0	0	0	1585.06
UNINTEGRATED|unclassified	61496	49046.5	69494.2	95851.8	62432.5
1CMET2-PWY: folate transformations III (E. coli)	513.976	470.044	482.254	276.474	395.607
1CMET2-PWY: folate transformations III (E. coli)|g__Akkermansia.s__Akkermansia_muciniphila	0	3.54078	0	0	0
1CMET2-PWY: folate transformations III (E. coli)|g__Alistipes.s__Alistipes_finegoldii	0	0	9.24743	0	0
